iter	Passed	Remaining
0	0	92
1	2	104
2	2	95
3	3	88
4	4	85
5	5	83
6	6	80
7	7	88
8	9	93
9	10	90
10	10	86
11	11	84
12	12	82
13	13	80
14	13	78
15	14	77
16	15	76
17	16	75
18	17	74
19	18	72
20	18	71
21	19	69
22	20	68
23	21	67
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	61
30	27	60
31	28	59
32	29	58
33	29	57
34	31	57
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	49
44	39	48
45	40	47
46	40	46
47	41	45
48	42	44
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
