iter	Passed	Remaining
0	134	134842
1	136	68268
2	138	46113
3	140	35073
4	142	28431
5	144	24011
6	146	20843
7	148	18461
8	150	16605
9	152	15108
10	154	13882
11	156	12871
12	158	12019
13	159	11263
14	160	10561
15	161	9947
16	162	9404
17	163	8921
18	164	8490
19	165	8102
20	166	7751
21	167	7433
22	168	7142
23	169	6874
24	170	6630
25	170	6403
26	171	6192
27	172	5995
28	173	5809
29	174	5636
30	175	5474
31	175	5322
32	176	5178
33	177	5044
34	178	4916
35	179	4794
36	179	4676
37	180	4565
38	180	4459
39	181	4358
40	182	4263
41	182	4173
42	183	4086
43	184	4003
44	184	3924
45	185	3848
46	186	3776
47	186	3706
48	187	3641
49	188	3577
50	188	3516
51	189	3457
52	190	3400
53	190	3345
54	191	3292
55	192	3241
56	192	3191
57	193	3143
58	194	3097
59	194	3052
60	195	3009
61	196	2967
62	196	2927
63	197	2888
64	198	2850
65	198	2813
66	199	2777
67	200	2742
68	200	2709
69	201	2680
70	202	2651
71	203	2620
72	203	2590
73	204	2560
74	205	2531
75	205	2503
76	206	2475
77	207	2449
78	207	2423
79	208	2397
80	209	2373
81	209	2349
82	210	2322
83	210	2299
84	211	2277
85	212	2255
86	212	2233
87	213	2212
88	214	2192
89	214	2171
90	215	2152
91	216	2133
92	216	2114
93	217	2096
94	218	2077
95	218	2060
96	219	2042
97	220	2025
98	220	2008
99	221	1991
100	221	1975
101	222	1959
102	223	1944
103	223	1929
104	224	1914
105	225	1899
106	225	1884
107	226	1870
108	227	1856
109	227	1842
110	228	1829
111	229	1815
112	229	1802
113	230	1790
114	230	1777
115	231	1765
116	232	1752
117	232	1740
118	233	1728
119	234	1716
120	234	1705
121	235	1693
122	235	1682
123	236	1671
124	237	1660
125	237	1650
126	238	1638
127	239	1628
128	239	1618
129	240	1608
130	241	1599
131	241	1589
132	242	1579
133	243	1570
134	243	1561
135	244	1552
136	245	1543
137	245	1534
138	246	1525
139	247	1517
140	247	1508
141	248	1499
142	248	1490
143	249	1482
144	250	1474
145	250	1466
146	251	1458
147	252	1450
148	252	1443
149	253	1435
150	254	1428
151	254	1420
152	255	1413
153	255	1406
154	256	1398
155	257	1393
156	258	1386
157	258	1379
158	259	1372
159	260	1365
160	260	1358
161	261	1351
162	261	1344
163	262	1338
164	263	1331
165	263	1325
166	264	1319
167	265	1313
168	265	1306
169	266	1300
170	267	1294
171	267	1289
172	268	1283
173	269	1277
174	269	1271
175	270	1266
176	271	1260
177	271	1254
178	272	1249
179	272	1243
180	273	1238
181	274	1232
182	274	1227
183	275	1221
184	276	1216
185	276	1211
186	277	1206
187	278	1200
188	278	1195
189	279	1191
190	280	1186
191	280	1181
192	281	1176
193	282	1172
194	282	1167
195	283	1162
196	284	1158
197	284	1153
198	285	1148
199	286	1144
200	286	1139
201	287	1135
202	287	1130
203	288	1126
204	289	1121
205	289	1117
206	290	1113
207	291	1108
208	291	1104
209	292	1100
210	293	1096
211	293	1092
212	294	1088
213	295	1083
214	295	1079
215	296	1075
216	297	1071
217	297	1067
218	298	1063
219	298	1060
220	299	1056
221	300	1052
222	300	1048
223	301	1044
224	302	1040
225	302	1036
226	303	1033
227	304	1029
228	304	1026
229	305	1022
230	306	1018
231	306	1015
232	307	1011
233	307	1008
234	308	1004
235	309	1001
236	309	997
237	310	994
238	311	990
239	311	987
240	312	983
241	313	980
242	313	977
243	314	974
244	315	970
245	315	967
246	316	964
247	316	961
248	317	958
249	318	954
250	318	951
251	319	948
252	320	945
253	320	942
254	321	939
255	322	936
256	322	933
257	323	930
258	324	927
259	324	924
260	325	921
261	325	918
262	326	915
263	327	914
264	328	912
265	329	910
266	331	910
267	332	907
268	332	904
269	333	902
270	334	899
271	334	896
272	335	893
273	336	890
274	336	888
275	337	885
276	338	882
277	338	880
278	339	877
279	340	874
280	340	872
281	341	869
282	342	866
283	342	864
284	343	861
285	344	859
286	344	856
287	345	854
288	346	851
289	346	849
290	347	846
291	348	844
292	348	841
293	349	840
294	350	837
295	351	835
296	351	832
297	352	830
298	353	827
299	353	825
300	354	823
301	355	820
302	355	818
303	356	816
304	357	813
305	357	811
306	358	808
307	359	806
308	359	804
309	360	802
310	360	799
311	361	797
312	362	795
313	362	792
314	363	790
315	364	788
316	364	786
317	365	784
318	366	781
319	366	779
320	367	777
321	368	775
322	368	773
323	369	771
324	370	768
325	370	766
326	371	764
327	372	762
328	372	760
329	373	758
330	374	756
331	374	754
332	375	752
333	376	749
334	376	747
335	377	745
336	378	743
337	378	741
338	379	739
339	379	737
340	380	735
341	381	733
342	381	731
343	382	729
344	383	727
345	383	725
346	384	723
347	385	721
348	385	719
349	386	717
350	386	715
351	387	713
352	388	711
353	388	709
354	389	707
355	390	705
356	390	703
357	391	701
358	391	699
359	392	698
360	393	696
361	393	694
362	394	692
363	395	690
364	395	688
365	396	687
366	397	685
367	397	683
368	398	681
369	399	679
370	399	678
371	400	676
372	401	674
373	401	672
374	402	670
375	403	668
376	403	667
377	404	665
378	405	663
379	405	662
380	406	660
381	406	658
382	407	656
383	408	654
384	408	653
385	409	651
386	410	649
387	410	648
388	411	646
389	412	645
390	413	644
391	414	642
392	414	640
393	415	638
394	416	637
395	416	635
396	417	633
397	418	632
398	418	630
399	419	628
400	419	627
401	420	625
402	421	624
403	421	622
404	422	620
405	423	619
406	423	617
407	424	615
408	425	614
409	426	613
410	427	612
411	428	611
412	429	609
413	429	608
414	430	607
415	431	606
416	432	604
417	433	603
418	433	601
419	434	600
420	435	598
421	435	597
422	436	595
423	437	593
424	437	592
425	438	590
426	439	589
427	439	587
428	440	586
429	441	584
430	441	583
431	442	581
432	443	580
433	443	578
434	444	577
435	445	575
436	445	574
437	446	572
438	447	571
439	447	569
440	448	568
441	449	566
442	449	565
443	450	563
444	450	562
445	451	560
446	452	559
447	452	558
448	453	556
449	454	555
450	454	553
451	455	552
452	456	550
453	456	549
454	457	547
455	458	546
456	458	545
457	459	543
458	460	542
459	460	541
460	461	539
461	462	538
462	462	536
463	463	535
464	464	533
465	464	532
466	465	531
467	465	529
468	466	528
469	467	526
470	467	525
471	468	524
472	469	522
473	469	521
474	470	519
475	471	518
476	471	517
477	472	515
478	472	514
479	473	513
480	474	511
481	474	510
482	475	509
483	476	507
484	476	506
485	477	505
486	478	503
487	478	502
488	479	501
489	480	499
490	480	498
491	481	497
492	482	495
493	482	494
494	483	493
495	484	491
496	484	490
497	485	489
498	486	488
499	486	486
500	487	485
501	488	484
502	488	482
503	489	481
504	490	480
505	490	479
506	491	477
507	492	476
508	492	475
509	493	473
510	494	472
511	494	471
512	495	470
513	496	469
514	497	468
515	498	467
516	498	465
517	499	464
518	500	463
519	500	462
520	501	460
521	501	459
522	502	458
523	503	457
524	503	455
525	504	454
526	505	453
527	505	452
528	506	450
529	507	449
530	507	448
531	508	447
532	509	446
533	510	445
534	511	444
535	511	443
536	512	442
537	513	440
538	513	439
539	514	438
540	515	437
541	515	436
542	517	435
543	518	434
544	518	433
545	519	431
546	519	430
547	520	429
548	521	428
549	521	427
550	522	425
551	523	424
552	523	423
553	524	422
554	525	421
555	525	419
556	526	418
557	527	417
558	527	416
559	528	415
560	529	414
561	529	412
562	530	411
563	530	410
564	531	409
565	532	408
566	532	406
567	533	405
568	534	404
569	534	403
570	535	402
571	536	401
572	537	400
573	537	399
574	538	397
575	539	396
576	539	395
577	540	394
578	541	393
579	541	392
580	542	391
581	543	390
582	543	388
583	544	387
584	545	386
585	545	385
586	546	384
587	546	383
588	547	382
589	548	380
590	548	379
591	549	378
592	550	377
593	550	376
594	551	375
595	552	374
596	552	373
597	553	372
598	554	371
599	554	369
600	555	368
601	556	367
602	556	366
603	557	365
604	558	364
605	558	363
606	559	362
607	560	361
608	560	359
609	561	358
610	561	357
611	562	356
